pattern,request_every_seconds,seed,policy,window_start_seconds,window_end_seconds,schedule_id,scheduled,served,remaining,skipped,wait_average_seconds,wait_maximum_seconds,empty_distance_meters,positioning_moves
destination,60,2,off,0,900,3b447090fb27e7a4,14,8,6,0,193.54642857142855,320.51666666666665,13702.513013162408,0
destination,60,2,on,0,900,3b447090fb27e7a4,14,8,6,0,189.54642857142855,340.1333333333333,13965.946346496174,1
destination,60,3,off,0,900,b4f474efc8760f06,14,9,5,0,167.23333333333332,300,13751.40021797499,0
destination,60,3,on,0,900,b4f474efc8760f06,14,9,5,0,132.86309523809524,263.85,14688.510072182911,3
destination,60,4,off,0,900,4f5ebd17bd977ab2,14,8,6,0,177.18333333333334,322.4166666666667,14698.191598450281,0
destination,60,4,on,0,900,4f5ebd17bd977ab2,14,9,5,0,150.4702380952381,283.01666666666665,15563.000191542616,4
destination,60,5,off,0,900,14bd4edfd420f3ba,14,8,6,0,198.82142857142856,340.1333333333333,14404.895955269463,0
destination,60,5,on,0,900,14bd4edfd420f3ba,14,9,5,0,150.3059523809524,289.96666666666664,13930.827130074942,2
destination,60,6,off,0,900,45e6983d7f5be03e,14,9,5,0,164.73690476190478,309.4166666666667,13427.85874692151,0
destination,60,6,on,0,900,45e6983d7f5be03e,14,9,5,0,130.0845238095238,261.31666666666666,14309.668601129379,3
destination,60,7,off,0,900,f226f955cb1ae552,14,8,6,0,196.8892857142857,317.03333333333336,14026.054484215949,0
destination,60,7,on,0,900,f226f955cb1ae552,14,9,5,0,148.3738095238095,289.96666666666664,13607.285659021463,2
destination,60,8,off,0,900,8c0eaa4d1b39dd2f,14,8,6,0,200.47142857142856,340.1333333333333,14783.737426323007,0
destination,60,8,on,0,900,8c0eaa4d1b39dd2f,14,9,5,0,151.9559523809524,289.96666666666664,14254.36860112841,2
destination,60,9,off,0,900,d2fd2d20246f77dc,14,8,6,0,170.35595238095237,297.4166666666667,13589.01860112832,0
destination,60,9,on,0,900,d2fd2d20246f77dc,14,8,6,0,188.22142857142856,320.98333333333335,15467.544603576081,3
destination,60,10,off,0,900,5ac85a9945c1136f,14,8,6,0,202.96785714285716,344.0833333333333,15107.278897376471,0
destination,60,10,on,0,900,5ac85a9945c1136f,14,9,5,0,154.73452380952384,293.9166666666667,14633.21007218195,2
hotspot,30,1,off,0,900,263e51e0b67769fa,29,12,17,0,251.75632183908047,485.18333333333334,3711.665248002495,0
hotspot,30,1,on,0,900,263e51e0b67769fa,29,10,19,0,273.4706896551724,510,5762.263545358104,1
hotspot,30,2,off,0,900,83983ef303ea2495,29,12,17,0,268.87011494252874,501.4,5868.023950689911,0
hotspot,30,2,on,0,900,83983ef303ea2495,29,12,17,0,260.98333333333335,495.3833333333333,6044.301459794116,2
hotspot,30,3,off,0,900,16935803fe9b0211,29,10,19,0,270.1890804597701,529.2166666666667,9436.9884987852,0
hotspot,30,3,on,0,900,16935803fe9b0211,29,9,20,0,283.0448275862069,570,10653.110793694379,1
hotspot,30,4,off,0,900,dbae05d21ab4f8c9,29,11,18,0,260.6293103448276,510,4319.063100932626,0
hotspot,30,4,on,0,900,dbae05d21ab4f8c9,29,11,18,0,248.21551724137933,510,5159.0631009338085,1
hotspot,30,5,off,0,900,edf2c2cbd63eb03e,29,12,17,0,251.42241379310343,474.06666666666666,6213.035545627079,0
hotspot,30,5,on,0,900,edf2c2cbd63eb03e,29,12,17,0,261.7632183908046,497.6166666666667,7733.70010696717,2
hotspot,30,6,off,0,900,ab92b7f3d2bc16e0,29,11,18,0,268.0390804597701,510,4994.180376871085,0
hotspot,30,6,on,0,900,ab92b7f3d2bc16e0,29,10,19,0,282.985632183908,568.4666666666667,7128.261606970029,1
hotspot,30,7,off,0,900,a36dbcd23261b6c5,29,10,19,0,268.51206896551724,533.1,6843.660956525779,0
hotspot,30,7,on,0,900,a36dbcd23261b6c5,29,10,19,0,262.1362068965517,510,6843.660956525733,2
hotspot,30,8,off,0,900,2e54ec0c2af18c64,29,14,15,0,224.90632183908048,450,4088.2800099847573,0
hotspot,30,8,on,0,900,2e54ec0c2af18c64,29,13,16,0,247.79080459770114,450,5585.7284623048345,1
hotspot,30,9,off,0,900,eac85228155948a1,29,11,18,0,275.8293103448276,527.4333333333333,5947.327615874265,0
hotspot,30,9,on,0,900,eac85228155948a1,29,12,17,0,266.35,510,7444.860949209051,1
hotspot,30,10,off,0,900,23a3ef44da394948,29,11,18,0,269.4132183908046,517.3833333333333,5955.369867616783,0
hotspot,30,10,on,0,900,23a3ef44da394948,29,12,17,0,253.12298850574714,458.71666666666664,5588.595130301637,1
hotspot,45,1,off,0,900,d3d7385d63a35fb7,19,10,9,0,163.80350877192984,315,3711.6652480025605,0
hotspot,45,1,on,0,900,d3d7385d63a35fb7,19,10,9,0,189.13421052631577,340.0833333333333,5846.697033656672,1
hotspot,45,2,off,0,900,855ce5c5f89d4cd6,19,12,7,0,188.53859649122808,376.2,5658.023950689692,0
hotspot,45,2,on,0,900,855ce5c5f89d4cd6,19,10,9,0,215.30087719298245,405,8893.022248047122,1
hotspot,45,3,off,0,900,c464a3552c1075e8,19,10,9,0,196.64561403508773,362.18333333333334,9218.189850479144,0
hotspot,45,3,on,0,900,c464a3552c1075e8,19,9,10,0,209.0438596491228,405,10805.381926908989,2
hotspot,45,4,off,0,900,b8151578cc5fa129,19,10,9,0,175.17105263157893,336.3666666666667,4261.779767599028,0
hotspot,45,4,on,0,900,b8151578cc5fa129,19,11,8,0,147.6315789473684,315,5112.16310093376,1
hotspot,45,5,off,0,900,c4312c5a0a8ad2a9,19,12,7,0,163.79912280701757,305.8333333333333,6136.336897321111,0
hotspot,45,5,on,0,900,c4312c5a0a8ad2a9,19,12,7,0,168.0824561403509,306.76666666666665,7581.42897375121,1
hotspot,45,6,off,0,900,fa09440e06826edd,19,10,9,0,195.16491228070174,367.21666666666664,4993.22982131553,0
hotspot,45,6,on,0,900,fa09440e06826edd,19,10,9,0,207.94298245614036,405,6989.977668261108,2
hotspot,45,7,off,0,900,98129d241dd4266c,19,10,9,0,186.7763157894737,374.9166666666667,6780.405932329846,0
hotspot,45,7,on,0,900,98129d241dd4266c,19,9,10,0,200.23771929824562,360,8127.620896352411,1
hotspot,45,8,off,0,900,454218b187892069,19,13,6,0,123.01491228070175,225,3707.130009984983,0
hotspot,45,8,on,0,900,454218b187892069,19,13,6,0,157.15438596491228,233.2,5165.728462304349,1
hotspot,45,9,off,0,900,f4889836c2a0848f,19,11,8,0,198.24298245614037,360,5753.495634234514,0
hotspot,45,9,on,0,900,f4889836c2a0848f,19,12,7,0,174.46842105263158,315,7232.760949208765,1
hotspot,45,10,off,0,900,d8f2c7813018ffbe,19,10,9,0,182.45350877192985,377.4,5912.139312061336,0
hotspot,45,10,on,0,900,d8f2c7813018ffbe,19,11,8,0,180.1,315,6696.2559787275695,1
hotspot,60,1,off,0,900,b87eacb4f5ae7246,14,10,4,0,86.91428571428573,158.45,3711.665248002423,0
hotspot,60,1,on,0,900,b87eacb4f5ae7246,14,10,4,0,107.53809523809524,188.08333333333334,5846.697033656679,1
hotspot,60,2,off,0,900,8a16f266fc5bf096,14,11,3,0,121.84523809523809,256.2,5601.207284023018,0
hotspot,60,2,on,0,900,8a16f266fc5bf096,14,10,4,0,143.1202380952381,276.03333333333336,8683.022248047006,1
hotspot,60,3,off,0,900,0601081a8ab9b404,14,9,5,0,138.08214285714286,259.3666666666667,8956.714589207748,0
hotspot,60,3,on,0,900,0601081a8ab9b404,14,9,5,0,146.81547619047618,280.8666666666667,11091.74637486092,2
hotspot,60,4,off,0,900,e5c462a5fb6cb698,14,9,5,0,97.36309523809524,189.63333333333333,4261.779767599091,0
hotspot,60,4,on,0,900,e5c462a5fb6cb698,14,11,3,0,56.18452380952381,146.71666666666667,4811.3964342667805,3
hotspot,60,5,off,0,900,d8bcaf9a72bec7d6,14,11,3,0,100.89880952380953,172.9,7207.687502698069,0
hotspot,60,5,on,0,900,d8bcaf9a72bec7d6,14,9,5,0,184.675,309.71666666666664,11054.909246761274,1
hotspot,60,6,off,0,900,0e2f293b7c755e4e,14,10,4,0,135.22380952380954,254.26666666666668,4993.22982131553,0
hotspot,60,6,on,0,900,0e2f293b7c755e4e,14,10,4,0,146.13690476190476,254.26666666666668,6779.977668260941,2
hotspot,60,7,off,0,900,a27941ad101f2155,14,9,5,0,118.9595238095238,239.91666666666666,6077.022598996227,0
hotspot,60,7,on,0,900,a27941ad101f2155,14,9,5,0,121.95119047619048,201.16666666666666,8127.620896352491,1
hotspot,60,8,off,0,900,219dfd6f7207ca45,14,13,1,0,36.46666666666667,86.26666666666667,2437.6800099841175,0
hotspot,60,8,on,0,900,219dfd6f7207ca45,14,13,1,0,66.92738095238096,168.8,4982.633581871501,2
hotspot,60,9,off,0,900,e41f8d639854612d,14,10,4,0,130.47976190476192,189.63333333333333,5774.028967567736,0
hotspot,60,9,on,0,900,e41f8d639854612d,14,12,2,0,91.33809523809525,155.88333333333333,6671.224838097112,1
hotspot,60,10,off,0,900,f5f905b5b398604e,14,9,5,0,112.04404761904762,240,5912.139312061334,0
hotspot,60,10,on,0,900,f5f905b5b398604e,14,11,3,0,95.69285714285714,199.96666666666667,6514.722645394075,1
bursty-hotspot,30,1,off,0,900,87c728f9a95ee524,29,12,17,0,272.4459770114943,510,3711.665248002524,0
bursty-hotspot,30,1,on,0,900,87c728f9a95ee524,29,13,16,0,263.5494252873563,508.48333333333335,3711.665248002503,1
bursty-hotspot,30,2,off,0,900,45e8a871c939a74c,29,11,18,0,296.8672413793103,600,7580.128974887521,0
bursty-hotspot,30,2,on,0,900,45e8a871c939a74c,29,12,17,0,283.9109195402299,510,6044.3014597944075,1
bursty-hotspot,30,3,off,0,900,8fc0ffc04e8b0cd1,29,10,19,0,290.1373563218391,559.2166666666667,9436.988498785575,0
bursty-hotspot,30,3,on,0,900,8fc0ffc04e8b0cd1,29,10,19,0,286.47643678160915,543.9833333333333,9436.988498785702,1
bursty-hotspot,30,4,off,0,900,7e83e032fd2f9ecc,29,11,18,0,283.38793103448273,516.3666666666667,4739.063100933372,0
bursty-hotspot,30,4,on,0,900,7e83e032fd2f9ecc,29,11,18,0,277.18103448275866,510,5159.0631009338085,1
bursty-hotspot,30,5,off,0,900,81972c9edecd1c63,29,13,16,0,246.45,510,6152.347188097228,0
bursty-hotspot,30,5,on,0,900,81972c9edecd1c63,29,14,15,0,229.95517241379312,420,4747.668273582785,1
bursty-hotspot,30,6,off,0,900,93faefdaa5d091bd,29,11,18,0,288.46321839080457,510,5377.879821315879,0
bursty-hotspot,30,6,on,0,900,93faefdaa5d091bd,29,11,18,0,283.29080459770114,510,5797.879821316315,1
bursty-hotspot,30,7,off,0,900,487a9dc0825f256d,29,10,19,0,291.1034482758621,593.1,6843.66095652619,0
bursty-hotspot,30,7,on,0,900,487a9dc0825f256d,29,10,19,0,285.06379310344823,563.1,6843.660956525779,1
bursty-hotspot,30,8,off,0,900,5c1fd9317262f79d,29,14,15,0,246.3896551724138,510,4360.224185755689,0
bursty-hotspot,30,8,on,0,900,5c1fd9317262f79d,29,14,15,0,238.11379310344827,510,4360.224185755586,1
bursty-hotspot,30,9,off,0,900,18d8809cbfbe7c73,29,11,18,0,298.5879310344827,557.4333333333333,5947.327615874283,0
bursty-hotspot,30,9,on,0,900,18d8809cbfbe7c73,29,12,17,0,295.31551724137927,527.4333333333333,7444.860949209051,1
bursty-hotspot,30,10,off,0,900,5ebba4a094457af5,29,12,17,0,266.0137931034483,510,5867.444306177985,0
bursty-hotspot,30,10,on,0,900,5ebba4a094457af5,29,12,17,0,258.9477011494253,510,5892.385035512389,1
bursty-hotspot,45,1,off,0,900,1040fbdc5319806a,19,11,8,0,187.76052631578946,321.1333333333333,3711.665248002524,0
bursty-hotspot,45,1,on,0,900,1040fbdc5319806a,19,10,9,0,229.81929824561402,382.05,5762.263545358133,1
